pdb_id,uniprot_id,protein_family,enzyme_number
5P4E,P11838,Belongs to the peptidase A1 family,3.4.23.22
5GL9,Q2T5A3,Belongs to the class-A beta-lactamase family,3.5.2.6
4RHJ,Q581Y0,Belongs to the arginase family,
5WFV,Q14145,Belongs to the KEAP1 family,
5WFV,Q16236,Belongs to the bZIP family. CNC subfamily,
3L8Q,Q7WYN3,,
4GFT,Q8I4W8,,
6RJI,Q2FY41,Belongs to the elongation factor P family,
2A33,Q8L8B8,Belongs to the LOG family,3.2.2.n1
3IPI,Q8PYS1,Belongs to the FPP/GGPP synthase family,2.5.1.81
5Q54,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
6LC7,A0A0A0Q7Z8,Belongs to the class-C beta-lactamase family,3.5.2.6
2GRO,P63279,Belongs to the ubiquitin-conjugating enzyme family,2.3.2.-
2GRO,P46060,Belongs to the RNA1 family,
4UAN,B5HSR1,,
3SCT,Q75I93,Belongs to the glycosyl hydrolase 1 family,3.2.1.21
3S9D,P01563,Belongs to the alpha/beta interferon family,
3S9D,P48551,Belongs to the type II cytokine receptor family,
6AT5,P01889,,
6AT5,P61769,Belongs to the beta-2-microglobulin family,
6AT5,P78358,Belongs to the CTAG/PCC1 family,
1CU2,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
2JKS,Q95NL6,,
5ANP,G2EA44,,
3QY9,Q5HG24,Belongs to the DapB family,1.17.1.8
6XVS,P02689,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
1XJ3,P23222,,2.7.13.3
4P3X,Q9X1X7,Belongs to the quinolinate synthase family. Type 2 subfamily,2.5.1.72
5MQ5,P00805,Belongs to the asparaginase 1 family,3.5.1.1
4MKP,Q8N884,Belongs to the mab-21 family,2.7.7.86
5HOC,O15350,Belongs to the p53 family,
2FOJ,Q93009,Belongs to the peptidase C19 family,3.4.19.12
2FOJ,P04637,Belongs to the p53 family,
3KMV,A3DBC8,Belongs to the glycosyl hydrolase 43 family,
3DSO,Q58AD3,,
4YN5,Q2ACI1,Belongs to the glycosyl hydrolase 26 family,
1KDI,Q7SIB8,Belongs to the plastocyanin family,
2P8E,O75688,Belongs to the PP2C family,3.1.3.16
6BIE,P77754,Belongs to the CpxP/Spy family,
2GP9,P00734,Belongs to the peptidase S1 family,3.4.21.5
6Q42,P04054,Belongs to the phospholipase A2 family,3.1.1.4
6IQF,Q9FE63,Belongs to the profilin family,
2PPO,P62942,Belongs to the FKBP-type PPIase family. FKBP1 subfamily,5.2.1.8
6CJ4,P9WPE1,Belongs to the HpcH/HpaI aldolase family. Citrate lyase beta subunit-like subfamily,4.1.-.-
5LN0,P02883,Belongs to the thaumatin family,
6Z4H,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
5J4F,O25562,,
1RZD,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
6SYY,O67206,,
5NFE,P02766,Belongs to the transthyretin family,
4JP6,U5HK42,,
5OG4,P25006,Belongs to the multicopper oxidase family,1.7.2.1
5B0N,Q8VSC3,Belongs to the LRR-containing bacterial E3 ligase family,2.3.2.27
7CYB,A0A2K6TQH4,,
4ZCE,L7N6F8,,
3T3L,Q16595,Belongs to the frataxin family,1.16.3.1
1MAV,Q9A5I4,,
6Y8Q,Q8DZ36,,
1FGO,P08170,Belongs to the lipoxygenase family,1.13.11.12
1XQF,P69681,Belongs to the ammonia transporter channel (TC 1.A.11.2) family,
1MOP,P9WIL5,Belongs to the pantothenate synthetase family,6.3.2.1
6L78,M1HE54,Belongs to the thiolase-like superfamily. Chalcone/stilbene synthases family,
6Y1C,Q84EX5,Belongs to the short-chain dehydrogenases/reductases (SDR) family,
2G1H,P0AAI9,Belongs to the FabD family,2.3.1.39
130L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5MXH,C7BLE4,,
5BVR,O13728,Belongs to the alpha-actinin family,
2J1Z,P04637,Belongs to the p53 family,
5PXZ,P23497,,
4KEF,Q03048,Belongs to the actin-binding proteins ADF family,
5PCR,Q9UIF8,Belongs to the WAL family,
4YGN,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
3IGL,P04637,Belongs to the p53 family,
2C7S,Q15262,Belongs to the protein-tyrosine phosphatase family. Receptor class 2B subfamily,3.1.3.48
1YR5,P0DP23,Belongs to the calmodulin family,
1YR5,P53355,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,2.7.11.1
6Z22,Q9F663,Belongs to the class-A beta-lactamase family,3.5.2.6
7LPV,P06873,Belongs to the peptidase S8 family,3.4.21.64
3EMW,Q99619,Belongs to the SPSB family,
3EMW,P09052,Belongs to the DEAD box helicase family. DDX4/VASA subfamily,3.6.4.13
4YUH,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
3IUF,Q92785,Belongs to the requiem/DPF family,
1LSY,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6J3D,E0U503,Belongs to the alpha-acetolactate decarboxylase family,4.1.1.5
3WWN,O50147,Belongs to the acetylglutamate kinase family. LysZ subfamily,2.7.2.17
3WWN,Q9ZND7,,
4F7P,P04439,Belongs to the MHC class I family,
4F7P,P61769,Belongs to the beta-2-microglobulin family,
4F7P,Q9YXL6,Belongs to the influenza viruses polymerase PB1 family,2.7.7.48
6F9O,Q1QBB9,Belongs to the haloalkane dehalogenase family. Type 1 subfamily,3.8.1.5
1WNA,Q5SI52,,
7EOA,A0A2H5Z9R5,,
7FB6,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
6CQG,Q8DPL7,,
1D0I,P15474,Belongs to the type-II 3-dehydroquinase family,4.2.1.10
4JWI,P0A6Y8,Belongs to the heat shock protein 70 family,
4JWI,P50415,Belongs to the cathelicidin family,
7MJ7,A0A140T913,Belongs to the MHC class I family,
7MJ7,P61769,Belongs to the beta-2-microglobulin family,
7MJ7,Q8WX77,,
4DP7,P00299,Belongs to the plastocyanin family,
2BLX,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3HRA,Q838Q8,,
4MPM,Q9NPG2,Belongs to the globin family,
1KPT,Q90121,,
3KRS,Q5CSE7,Belongs to the triosephosphate isomerase family,5.3.1.1
1L99,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1Y3D,P00782,Belongs to the peptidase S8 family,3.4.21.62
1Y3D,Q40059,Belongs to the protease inhibitor I13 (potato type I serine protease inhibitor) family,
1RCM,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
6GP4,P07900,Belongs to the heat shock protein 90 family,3.6.4.10
3IS0,Q4A0V8,,
6NX5,O60059,,
5H34,Q74MZ1,Belongs to the class-I aminoacyl-tRNA synthetase family. MetG type 1 subfamily,6.1.1.10
6IVC,P0C6Y5,Belongs to the coronaviruses polyprotein 1ab family,
1UQY,O68541,Belongs to the glycosyl hydrolase 10 (cellulase F) family,3.2.1.8
2A1I,P07992,Belongs to the ERCC1/RAD10/SWI10 family,
5GXI,Q8TEQ6,Belongs to the WD repeat gemin-5 family,
5Q3J,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
1YYH,P46531,Belongs to the NOTCH family,
4EZO,P0A6Y8,Belongs to the heat shock protein 70 family,
4EZO,P80054,Belongs to the cathelicidin family,
8OHX,P05804,Belongs to the glycosyl hydrolase 2 family,3.2.1.31
3D02,A6THR5,Belongs to the bacterial solute-binding protein 2 family,
2FD7,P01542,Belongs to the plant thionin (TC 1.C.44) family,
2HQT,P46672,Belongs to the tRNA-aminoacylation cofactor ARC1 family,
1QUP,P40202,Belongs to the CCS1 family,
8OVR,F8UNI4,,3.2.1.14
6R5M,A0A4P1LYC9,Belongs to the snake three-finger toxin family. Short-chain subfamily,
2Y4V,P0DP23,Belongs to the calmodulin family,
2Y4V,P53355,Belongs to the protein kinase superfamily. CAMK Ser/Thr protein kinase family. DAP kinase subfamily,2.7.11.1
5P7S,P11838,Belongs to the peptidase A1 family,3.4.23.22
6W01,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
4DIP,Q9NWM8,,5.2.1.8
6OME,O84049,Belongs to the peptidase M17 family,3.4.11.1
2VLN,P13479,Belongs to the colicins ColE2/ColE8/ColE9 and pyocins S1/S2 family,
2VLN,P09883,Belongs to the colicin/pyosin nuclease family,3.1.-.-
4ID4,P62593,Belongs to the class-A beta-lactamase family,3.5.2.6
4ID4,P16897,Belongs to the class-A beta-lactamase family,3.5.2.6
5FUD,Q8EP31,,
5P0E,P11838,Belongs to the peptidase A1 family,3.4.23.22
1U79,Q9SCY2,Belongs to the FKBP-type PPIase family,5.2.1.8
5GH9,Q92793,,
5GH9,P68431,Belongs to the histone H3 family,
4DBB,O35430,,
4N2K,Q9Y2J8,Belongs to the protein arginine deiminase family,3.5.3.15
4RYR,Q81BL7,Belongs to the TspO/BZRP family,
3BYP,Q8VLX7,Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family,
4RDJ,Q8BCA3,,
3BDH,P00634,Belongs to the alkaline phosphatase family,3.1.3.1
5YR0,O88597,Belongs to the beclin family,
5YR0,Q8K245,,
1E8K,P52011,Belongs to the cyclophilin-type PPIase family,5.2.1.8
3ILI,P26281,Belongs to the HPPK family,2.7.6.3
4Z50,Q0PQ60,,
2YXF,P61769,Belongs to the beta-2-microglobulin family,
1LCN,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
247L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
1V3W,O59257,,
1JY3,P02672,,
1JY3,P02676,,
1JY3,P12799,,
5HRQ,P01308,Belongs to the insulin family,
7D2C,Q460N5,Belongs to the ARTD/PARP family,2.4.2.-
1ZSP,P04179,Belongs to the iron/manganese superoxide dismutase family,1.15.1.1
3AVK,P12497,,
3OXS,Q861F6,Belongs to the MHC class I family,
3OXS,P61769,Belongs to the beta-2-microglobulin family,
3OXS,P0C6H2,Belongs to the orthohepadnavirus precore antigen family,
2I3R,P23467,Belongs to the protein-tyrosine phosphatase family. Receptor class 3 subfamily,3.1.3.48
5OZR,P11838,Belongs to the peptidase A1 family,3.4.23.22
3HID,Q8ZIV7,Belongs to the adenylosuccinate synthetase family,6.3.4.4
2DS5,P0A6H1,Belongs to the ClpX chaperone family,
3R9M,Q5VW32,Belongs to the BROX family,
4MGP,P11006,Belongs to the gastrin/cholecystokinin family. Magainin subfamily,
7DJM,Q8VZ10,,3.1.3.-
3KIV,P08519,Belongs to the peptidase S1 family. Plasminogen subfamily,3.4.21.-
1OOF,O02372,Belongs to the PBP/GOBP family,
9RNT,P00651,Belongs to the ribonuclease N1/T1 family,4.6.1.24
3W41,P17906,,3.1.3.3
4TOQ,G1UH28,Belongs to the glycosyl hydrolase 18 family. Chitinase class III subfamily,3.2.1.14
2XUA,Q13KT2,,
1E65,P00282,,
5DVH,A0A1I9GEQ4,Belongs to the protease inhibitor I3 (leguminous Kunitz-type inhibitor) family,
1VWG,P22629,Belongs to the avidin/streptavidin family,
5GVZ,Q9KQ21,Belongs to the PTH family,3.1.1.29
6WAT,Q16695,Belongs to the histone H3 family,
6WAT,O43189,Belongs to the Polycomblike family,
4A1Y,P02689,Belongs to the calycin superfamily. Fatty-acid binding protein (FABP) family,
1Y8A,O28835,,
6GU1,D0N6D2,Belongs to the RxLR effector family,
4IKG,P56198,Belongs to the CIDE family,
2WFV,Q7KUD5,Belongs to the insulin family,
2YV0,P0A7Y4,Belongs to the RNase H family,3.1.26.4
6UB1,A0A179UGT5,,
1CQY,Q9Z4N9,Belongs to the glycosyl hydrolase 14 family,3.2.1.2
1Z90,Q9M9P3,Belongs to the UDPGP type 1 family,2.7.7.9
3CSX,A1KYE3,Belongs to the UPF0437 family,
1C2A,P12940,Belongs to the Bowman-Birk serine protease inhibitor family,
4IYA,O80066,Belongs to the aerolysin family,
2V2U,Q61597,Belongs to the beta/gamma-crystallin family,
1F2S,P00760,Belongs to the peptidase S1 family,3.4.21.4
1F2S,P10295,Belongs to the protease inhibitor I7 (squash-type serine protease inhibitor) family,
1JDR,P00431,Belongs to the peroxidase family. Cytochrome c peroxidase subfamily,1.11.1.5
3UHG,P02213,Belongs to the globin family,
6K9W,P36217,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
4QT7,P00523,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
4QT7,V5RF47,,
3OA5,B6A876,Belongs to the glycosyl hydrolase 18 family,3.2.1.14
6HQO,P0DPQ7,Belongs to the cytochrome P450 family,1.14.14.-
1JRL,P0ADA1,Belongs to the 'GDSL' lipolytic enzyme family,
4XG0,A0A0H3LX82,Belongs to the four-carbon acid sugar kinase family,2.7.1.219
5FSU,C9ZP98,,
3VI6,P62888,Belongs to the eukaryotic ribosomal protein eL30 family,
6ML3,Q80X44,Belongs to the krueppel C2H2-type zinc-finger protein family,
2FI4,P00760,Belongs to the peptidase S1 family,3.4.21.4
2FI4,P00974,,
1QZM,P0A9M0,Belongs to the peptidase S16 family,3.4.21.53
2VXY,P17865,Belongs to the FtsZ family,
4HHB,P69905,Belongs to the globin family,
4HHB,P68871,Belongs to the globin family,
3B8I,Q9HUU1,Belongs to the isocitrate lyase/PEP mutase superfamily. Oxaloacetate decarboxylase family,4.1.1.112
3FJH,P05230,Belongs to the heparin-binding growth factors family,
1TEW,P00703,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5TNO,P00740,Belongs to the peptidase S1 family,3.4.21.22
4PC8,P04789,Belongs to the triosephosphate isomerase family,5.3.1.1
1IVU,P46881,Belongs to the copper/topaquinone oxidase family,1.4.3.21
5PTZ,O95696,,
4KAF,P0A3G3,Belongs to the haloalkane dehalogenase family. Type 2 subfamily,3.8.1.5
3GK7,Q9RM86,Belongs to the acetyl-CoA hydrolase/transferase family,
7A2V,P06241,Belongs to the protein kinase superfamily. Tyr protein kinase family. SRC subfamily,2.7.10.2
3S3U,Q83XN4,Belongs to the peptidase S58 family,
1W9E,O00560,,
1BGF,P42228,Belongs to the transcription factor STAT family,
4RIG,Q9ZGC0,Belongs to the glycosyltransferase 28 family,
4RIG,Q9RPA7,Belongs to the glycosyltransferase 28 family,
3NS8,P0CG48,Belongs to the ubiquitin family,
1PIN,Q13526,,5.2.1.8
3GY1,A6M2W4,Belongs to the mandelate racemase/muconate lactonizing enzyme family. GalD subfamily,
5EPP,P55072,Belongs to the AAA ATPase family,3.6.4.6
5EPP,Q8TEB9,Belongs to the peptidase S54 family,3.4.21.105
1WQO,P61626,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
2O68,P35755,Belongs to the bacterial solute-binding protein 1 family,
6AG8,P77791,Belongs to the transferase hexapeptide repeat family,2.3.1.79
5V3R,Q8WUM4,,
5V3R,Q96CF2,Belongs to the SNF7 family,
1D3W,P00214,,
1SWZ,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
6UID,Q9I318,,
3HGU,Q8GPH0,,
7QU4,P69905,Belongs to the globin family,
7QU4,P69892,Belongs to the globin family,
1AKO,P09030,Belongs to the DNA repair enzymes AP/ExoA family,3.1.11.2
3AMN,Q60032,Belongs to the glycosyl hydrolase 12 (cellulase H) family,
6QOO,B1MDI3,Belongs to the RNA methyltransferase TrmD family,2.1.1.228
7AVF,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
3FH2,Q8NMA0,,
4XUQ,O69230,Belongs to the glycosyl hydrolase 10 (cellulase F) family,3.2.1.8
2CWC,Q5SMG9,Belongs to the ADP-ribosylglycohydrolase family,
7DVX,P0DTD1,Belongs to the coronaviruses polyprotein 1ab family,
3R0P,D8VN48,Belongs to the RutC family,
4QFB,A0A0H3MBV9,,
2XLD,P00138,,
1KLT,P23946,Belongs to the peptidase S1 family. Granzyme subfamily,3.4.21.39
4BOQ,Q5VVQ6,,3.4.19.12
3VPI,Q9I2Q1,,3.4.19.11
2RE2,Q9HJC9,,
1BE0,P22643,Belongs to the haloalkane dehalogenase family. Type 1 subfamily,3.8.1.5
1L59,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5KUL,P62937,Belongs to the cyclophilin-type PPIase family. PPIase A subfamily,5.2.1.8
4E0K,P61769,Belongs to the beta-2-microglobulin family,
1RTU,P00654,Belongs to the ribonuclease U2 family,4.6.1.20
4L8L,O30557,Belongs to the type-II 3-dehydroquinase family,4.2.1.10
2EFV,Q57812,,
5Q6X,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
6PLJ,O26628,,
4IPD,P27694,Belongs to the replication factor A protein 1 family,
5O75,O95155,Belongs to the ubiquitin conjugation factor E4 family,2.3.2.27
6H0H,B8DWA9,Belongs to the bacterial solute-binding protein 1 family,
4PXE,Q8VXY9,Belongs to the peptidase M20 family,3.5.1.116
5UVQ,C9Z6T8,,
1CAN,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
4D4T,P0DOE7,Belongs to the pneumovirinae M protein family,
3NEC,Q58NA1,Belongs to the profilin family,
7OA0,P49759,Belongs to the protein kinase superfamily. CMGC Ser/Thr protein kinase family. Lammer subfamily,2.7.12.1
2QW5,Q3M5E3,,
4QY4,P51531,Belongs to the SNF2/RAD54 helicase family,3.6.4.-
1OD3,Q8GJ44,Belongs to the glycosyl hydrolase 11 (cellulase G) family,3.2.1.8
3FAK,Q0GMU2,Belongs to the 'GDXG' lipolytic enzyme family,
172L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
5QZH,P33334,,
5QZH,P32357,Belongs to the AAR2 family,
1VL4,Q9WZI6,Belongs to the peptidase U62 family,
5P3S,P11838,Belongs to the peptidase A1 family,3.4.23.22
6MQ0,Q939D2,Belongs to the peroxidase family. Peroxidase/catalase subfamily,1.11.1.21
3I7M,Q03R62,Belongs to the peptidase M24B family,
3MIL,P41734,Belongs to the 'GDSL' lipolytic enzyme family. IAH1 subfamily,3.1.1.112
6Y9N,Q80VW5,,
6Y9N,Q9QZZ4,Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family,
3DW0,A8DS27,Belongs to the class-A beta-lactamase family,3.5.2.6
3N21,P00800,Belongs to the peptidase M4 family,3.4.24.27
2BY6,P00760,Belongs to the peptidase S1 family,3.4.21.4
4KMQ,Q8Y4J2,Belongs to the glycosyl hydrolase 31 family,
1IMX,P05019,Belongs to the insulin family,
5N40,A0A0U1R0I0,Belongs to the intimin/invasin family,
4YOY,A0A060P168,,
2DQK,P06873,Belongs to the peptidase S8 family,3.4.21.64
4C1O,A0A067XG64,,
6GZU,Q5L5G1,,
4WP6,G0SET4,Belongs to the NXF family,
2PT0,Q7WUJ1,,
1PNK,P06875,Belongs to the peptidase S45 family,3.5.1.11
6O63,Q9ZUB3,Belongs to the spermidine/spermine synthase family,2.5.1.16
5M89,G0SFY0,Belongs to the WD repeat PRP19 family,2.3.2.27
5Z2D,A0A3B6UER2,Belongs to the DapB family,1.17.1.8
1JG9,Q9ZEU2,Belongs to the glycosyl hydrolase 13 family,2.4.1.4
1WAD,P00133,,
3H4H,P38501,Belongs to the multicopper oxidase family,1.7.2.1
243L,P00720,Belongs to the glycosyl hydrolase 24 family,3.2.1.17
3LFG,Q8R910,,
6X6I,P9WFK7,Belongs to the acetyltransferase Eis family,2.3.1.-
1ZAV,P29394,Belongs to the universal ribosomal protein uL10 family,
1ZAV,P29396,Belongs to the bacterial ribosomal protein bL12 family,
6B7W,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
5LHF,Q9YGB1,Belongs to the TrpF family,5.3.1.24
2JHM,O00602,Belongs to the ficolin lectin family,
2AV1,P04439,Belongs to the MHC class I family,
2AV1,P61769,Belongs to the beta-2-microglobulin family,
2AV1,P14079,Belongs to the deltaretrovirus Tax protein family,
4AX0,B5DCA0,,
2QPN,Q9KJY7,Belongs to the class-A beta-lactamase family,3.5.2.6
1XB3,P00282,,
3I57,Q9RGN5,,
3ZVI,Q05514,Belongs to the methylaspartate ammonia-lyase family,4.3.1.2
3OTS,P35963,,
1FK0,P19656,Belongs to the plant LTP family,
2W1Z,Q27007,,
1VEM,P36924,Belongs to the glycosyl hydrolase 14 family,3.2.1.2
3MU0,P00772,Belongs to the peptidase S1 family. Elastase subfamily,3.4.21.36
3W01,A7X435,Belongs to the GGGP/HepGP synthase family. Group I subfamily,2.5.1.n9
6TRJ,O75475,Belongs to the HDGF family,
2YD6,P23468,Belongs to the protein-tyrosine phosphatase family. Receptor class 2A subfamily,3.1.3.48
6Z3V,P00441,Belongs to the Cu-Zn superoxide dismutase family,1.15.1.1
2YR0,Q5SLS0,,
3RKC,D3VV84,,
3Q9V,Q9RRR8,,
1H03,P08174,Belongs to the receptors of complement activation (RCA) family,
1WT6,Q09013,Belongs to the protein kinase superfamily. AGC Ser/Thr protein kinase family. DMPK subfamily,2.7.11.1
2ISB,O29167,Belongs to the class-I fumarase family,
3NQN,Q9RSW5,,
6ETK,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
2WUJ,P71021,Belongs to the DivIVA family,
4JH6,Q739M9,Belongs to the fosfomycin resistance protein family. FosB subfamily,2.5.1.-
4WBA,O92323,Belongs to the rotavirus NSP4 family,
1UBH,P21852,Belongs to the [NiFe]/[NiFeSe] hydrogenase large subunit family,1.12.2.1
1UBH,P21853,Belongs to the [NiFe]/[NiFeSe] hydrogenase small subunit family,1.12.2.1
4ACO,P32504,,
3UYO,P00519,Belongs to the protein kinase superfamily. Tyr protein kinase family. ABL subfamily,2.7.10.2
5Q9A,Q6PJP8,Belongs to the DNA repair metallo-beta-lactamase (DRMBL) family,
2EYM,P00644,Belongs to the thermonuclease family,3.1.31.1
6LGD,A0A077JI83,,3.2.1.20
5JIJ,G7CGT2,Belongs to the glycosyltransferase 20 family,2.4.1.347
6OGV,O38885,,
4I45,Q93CG9,Belongs to the 4-hydroxybenzoyl-CoA thioesterase family,
4XX8,P14174,Belongs to the MIF family,5.3.2.1
4AQI,Q86SG5,Belongs to the S-100 family,
5FOU,O74036,Belongs to the eukaryotic RecA-like protein family,
1XPT,P61823,Belongs to the pancreatic ribonuclease family,4.6.1.18
6MH3,Q32ZE1,,
6ZWF,Q5F6E9,Belongs to the transaldolase family. Type 2 subfamily,2.2.1.2
2D0D,P96965,,
1OI0,O28085,,
5T2E,I7BFC3,,
5KJ9,P00698,Belongs to the glycosyl hydrolase 22 family,3.2.1.17
1B2J,P00268,Belongs to the rubredoxin family,
2G0V,P02185,Belongs to the globin family,
3P6Q,P00183,Belongs to the cytochrome P450 family,1.14.15.1
7L7Z,Q1QD33,Belongs to the transferase hexapeptide repeat family,
2RJV,P02640,Belongs to the villin/gelsolin family,
3MNI,P00918,Belongs to the alpha-carbonic anhydrase family,4.2.1.1
2IC2,Q9VM64,Belongs to the immunoglobulin superfamily. IHOG family,
5YE3,P62805,Belongs to the histone H4 family,
3GG7,Q9RZH8,Belongs to the metallo-dependent hydrolases superfamily. TatD-type hydrolase family,
3TVJ,O00187,Belongs to the peptidase S1 family,3.4.21.104
3TVJ,O46162,Belongs to the protease inhibitor I19 family,
4YTV,O60200,Belongs to the TRIAP1/MDM35 family,
6J2R,A0A0M4APJ4,Belongs to the AB hydrolase superfamily,
8YHF,P36897,Belongs to the protein kinase superfamily. TKL Ser/Thr protein kinase family. TGFB receptor subfamily,2.7.11.30
1PEN,P50984,Belongs to the conotoxin A superfamily,
